Time,Temperature (2m height),Relative Humidity (2m height),Wind Speed (10m height)
27/08/2023 12:00 am,15.4,84,3
27/08/2023 01:00 am,15.1,85,1.5
27/08/2023 02:00 am,14.8,85,3.5
27/08/2023 03:00 am,13.8,93,4
27/08/2023 04:00 am,13.5,93,5.1
27/08/2023 05:00 am,13.7,89,4
27/08/2023 06:00 am,15.1,84,5.2
27/08/2023 07:00 am,16.7,76,5.3
27/08/2023 08:00 am,18,70,5.4
27/08/2023 09:00 am,18.9,64,6.5
27/08/2023 10:00 am,19.8,59,5.9
27/08/2023 11:00 am,20,57,6.4
27/08/2023 12:00 pm,20.2,54,6.1
27/08/2023 01:00 pm,19.9,55,6.3
27/08/2023 02:00 pm,19.7,57,6.4
27/08/2023 03:00 pm,19.7,66,5.2
27/08/2023 04:00 pm,18.6,77,4.4
27/08/2023 05:00 pm,18.2,81,5.2
27/08/2023 06:00 pm,17.5,84,7
27/08/2023 07:00 pm,16.9,89,5.6
27/08/2023 08:00 pm,16.5,93,5.7
27/08/2023 09:00 pm,16.6,91,6.5
27/08/2023 10:00 pm,16.5,89,7.9
27/08/2023 11:00 pm,16.3,86,10.2
28/08/2023 12:00 am,15.5,85,10.1
28/08/2023 01:00 am,14.6,78,10.8
28/08/2023 02:00 am,13.6,83,7.6
28/08/2023 03:00 am,12.9,88,7.4
28/08/2023 04:00 am,12.4,91,8.6
28/08/2023 05:00 am,12.3,90,6.5
28/08/2023 06:00 am,13.2,86,7.8
28/08/2023 07:00 am,14.4,80,9.2
28/08/2023 08:00 am,16.1,70,12
28/08/2023 09:00 am,16.6,67,10.9
28/08/2023 10:00 am,17.5,62,10.8
28/08/2023 11:00 am,18.5,58,9.4
28/08/2023 12:00 pm,18.8,56,9.9
28/08/2023 01:00 pm,19.2,53,9.4
28/08/2023 02:00 pm,19.5,52,5.9
28/08/2023 03:00 pm,19.2,56,2.3
28/08/2023 04:00 pm,19.1,56,2.6
28/08/2023 05:00 pm,18.8,60,2.6
28/08/2023 06:00 pm,18.1,68,2.3
28/08/2023 07:00 pm,17.2,75,2.2
28/08/2023 08:00 pm,16.4,81,4.3
28/08/2023 09:00 pm,16.1,84,1.8
28/08/2023 10:00 pm,15.7,86,2.9
28/08/2023 11:00 pm,15.5,89,2.1
29/08/2023 12:00 am,15.6,88,2.2
29/08/2023 01:00 am,15.1,91,3.8
29/08/2023 02:00 am,14.9,93,0.5
29/08/2023 03:00 am,15,92,4.1
29/08/2023 04:00 am,14.9,90,5.5
29/08/2023 05:00 am,14.8,89,3.3
29/08/2023 06:00 am,14.8,87,5
29/08/2023 07:00 am,14.9,90,6
29/08/2023 08:00 am,15,91,5.2
29/08/2023 09:00 am,15.4,87,6.4
29/08/2023 10:00 am,15.9,83,7.6
29/08/2023 11:00 am,16.2,81,5.4
29/08/2023 12:00 pm,16.6,78,8.7
29/08/2023 01:00 pm,16.7,79,8.5
29/08/2023 02:00 pm,16.8,79,6
29/08/2023 03:00 pm,16.4,82,5
29/08/2023 04:00 pm,16,84,4.4
29/08/2023 05:00 pm,15.6,87,4.6
29/08/2023 06:00 pm,15.3,92,5.8
29/08/2023 07:00 pm,15.1,93,6.2
29/08/2023 08:00 pm,14.8,92,6
29/08/2023 09:00 pm,14.2,93,7.8
29/08/2023 10:00 pm,14.1,91,5.8
29/08/2023 11:00 pm,14,89,5
30/08/2023 12:00 am,13.9,94,4.6
30/08/2023 01:00 am,13.8,94,4.8
30/08/2023 02:00 am,13.5,95,7.1
30/08/2023 03:00 am,13.7,97,6.8
30/08/2023 04:00 am,13.7,98,7.8
30/08/2023 05:00 am,13.9,97,4.7
30/08/2023 06:00 am,14.1,94,6.2
30/08/2023 07:00 am,14.6,92,5.9
30/08/2023 08:00 am,15.3,87,4.5
